id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34332293,0,0,0,0.17341062,0,0,0,0,0,0,0.39778778
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44240698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42601815,0,0,0
2,0,0,0,0,0,0,0,0,0,0.0498709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7399363,0,0,0,0,0,0.05241096,0,0,0,0,0.01624378,0,0,0,0,0,0,0,0,0,0.12830853,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011694234,0,0,0,0.48489726,0,0.03611852,0,0,0,0,0,0,0,0,0,0,0,0,0.029407745,0,0.1837929,0,0,0,0.17810358,0,0.0693382,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40972003,0,0,0,0,0,0,0,0,0,0,0,0,0.57940525,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13459842,0,0,0,0,0,0,0,0,0,0,0,0.41309553,0,0,0.07851678,0,0,0,0,0,0,0.3570755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14963156,0,0,0,0,0,0.8370308,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5907677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21714337,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06257175,0,0,0,0.795256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06818522,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037956834,0,0,0,0,0.15203047,0,0,0,0,0,0.7697363,0,0,0,0.017831832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0.0468579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05339925,0.08438934,0,0,0,0.4413186,0,0,0,0,0.31226233,0,0.029989455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014743479,0,0,0,0,0
11,0,0,0.70394826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084790416,0,0,0,0,0.059110872,0,0,0,0,0,0,0,0.14144242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.663779,0.09136807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16640458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0.029888242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1385787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82536864
14,0,0,0.022142012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059788678,0,0.022747874,0.01913696,0,0,0,0.09900677,0.016798174,0,0,0,0,0.38186237,0.017160306,0,0.2733281,0,0,0.034807425,0,0,0,0,0,0.040590044,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034574877,0,0.9560966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20399572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603966,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13393833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8279027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107024506,0,0,0,0,0,0.22585025,0,0,0,0,0,0,0.19262561,0,0,0,0.28196448,0,0,0.08046881,0,0,0,0.10618962,0,0,0
